Phoneme,Mean_Wav_Length
'b,0.060498866213151925
a,0.14139077853363569
au,0.348843537414966
b,0.0436734693877551
c,0.012959183673469387
ch,0.009886621315192743
d,0.026809199870424356
e,0.1280045351473923
g,0.04953028830579852
Gr,0.03741496598639456
h,0.039687875150060024
i,0.11295238095238096
ia,0.08430839002267573
ih,0.07845804988662132
ĭ,0.03263038548752834
j,0.021844293272864704
k,0.017651801461325268
Kl,0.042630385487528344
l,0.06097505668934241
m,0.08813186813186814
n,0.06585034013605441
ng,0.027362055933484505
nh,0.07356009070294785
o,0.04123456790123457
oh,0.11188208616780046
ol,0.15006802721088436
p,0.008218694885361554
q,0.0
r,0.052159234063995974
s,0.11505668934240362
t,0.011678004535147392
tr,0.024671201814058956
u,0.10280574452003023
uch,0.03578231292517007
up,0.03070294784580499
U,0.029115646258503405
uô,0.0673922902494331
uə,0.06698412698412698
v,0.04421768707482993
y,0.03331389698736637
â,0.03160997732426304
âm,0.11977324263038548
ê,0.010272108843537416
ô,0.14687074829931973
ă,0.03758125472411186
đ,0.051798941798941796
ĕr,0.15165532879818594
ĭ,0.12083900226757369
ŭ,0.04308390022675737
ŭq,0.02802721088435374
ɛ,0.0
ɯə,0.09047619047619047
ơ,0.05428571428571428
ư,0.027392290249433106
ɉ,0.08331065759637188
ɤm,0.08807256235827664
